,Name,Location,Courses,Contact No.
42,GBS School of Business Studies,"Road No. 3, Banjara Hills, Hyderabad",MBA Colleges,
43,St. Pious X Degree & PG College for Women," Nacharam, Nacharam, Hyderabad",MBA Colleges,
44,RRS College of Engineering & Technology,"Muthangi, Muthangi",MBA Colleges,
45,San Phar,"Commercial Tax Colony, Kothapet",Pharmacy Colleges,
46,Aquila College Of Medical Scribing,"ACMS 2nd Floor Anand chambers Dilsukhnagar , Dilsukh Nagar",Pharmacy Colleges,
47,"mn nm , ,m",", Hyderabad - ",Pharmacy Colleges,
48,Sajidul Islam laskar,"Hitech City, Hyderabad - 788163",Pharmacy Colleges,
49,Sree Dattha Institute of Engineering & Science College,"Nagarjuna Sagar Road, Ibrahimpatnam",Pharmacy Colleges,
50,Sri Indu Institute of Pharmacy,"Sheriguda, Ibrahimpatnam",Pharmacy Colleges,
51,S.N. Vanita Pharmacy Maha Vidyalaya,"Mukarram Shahi Road, Nampally",Pharmacy Colleges,
52,Bojjam Narsimlu Pharmacy College for Women,"Vinay Nagar, Saidabad",Pharmacy Colleges,
53,Gokaraju Rangaraju College of Pharmacy,"Nizampet Road , Miyapur",Pharmacy Colleges,
54,Malla Institute of Pharmaceutical Sciences,"Maisamma Guda, Hakimpet",Pharmacy Colleges,
55,Global Institute,Also Servicing in Hyderabad,Nursing Colleges,+919021113668
56,Devs Medical & Educational Society,"No. 22, Moulali",Nursing Colleges,
57,My Own Career Academy,"Mathrusri Nagar, Miyapur",Nursing Colleges,
58,Sri Venkateswara College of Nursing & Healthcare,"Maruti Nagar, Malkajgiri",Nursing Colleges,
59,Noble School of Nursing,"B.N. Reddy Colony, Vanasthalipuram",Nursing Colleges,
60,Owaisi School of Nursing,"Santosh Nagar , Kanchanbagh",Nursing Colleges,
61,Rajeswari School of Nursing,"Kamala Nagar, Vanasthalipuram",Nursing Colleges,
62,Princess Durru Shehvar College,"Purani Haveli, Puranapool",Nursing Colleges,
63,JJ School of Nursing,"1st Floor, Bowenpally",Nursing Colleges,
64,Gowthami College of Nursing,"Narasimhapuram Colony, Saroor Nagar",Nursing Colleges,
65,,,,
66,Risali Edusense India Pvt. Ltd.,Also Servicing in Hyderabad,Aviation Colleges,+919021116617
67,Aptech Aviation Academy," Sai Towers, Dilsukh Nagar, Hyderabad",Aviation Colleges,+918048043896
68,Skybird Aviation,Also Servicing in Hyderabad,Aviation Colleges,+917569004887
69,Fortune Flyers," Saleem Nagar, Malakpet",Aviation Colleges,+918043692417
70,Kenpro Learning,Also Servicing in Hyderabad,Aviation Colleges,+918048067154
71,Aliens Hub,"Srisailam Highway, Ramnaspura",Aviation Colleges,
72,Aptech Learning Center,"Surya Nagar, Toli Chowki",Aviation Colleges,
73,Airborne Aviation Academy," Nalgonda X Road, Malakpet",Aviation Colleges,
74,Aviation training institute,"Bridge skill development academy 1 st floor skill spectrum building beside TTD Devesthanam himayath nagar, Himayat Nagar",Aviation Colleges,
75,Santhosh,"BK Guda, Balkampet",Aviation Colleges,
76,,,,
77,,,,
